,Status/Disposal,Brand,Brand Location,Tattoo,Tattoo Location,Name,Registration Number_x,Breeder,Breeder Member Number,Owner,Owner Member Number,Date of Birth,Birth Method,Sire_x,Dam,Status,Type or Sex,Breed 1,Breed 2,Breed 3,Breed Comp 1,Breed Comp 2,Breed Comp 3,Horns,EPDType,EPD Reporting Period,CED,CED Acc,BW,BW Acc,WW,WW Acc,YW,YW Acc,MK,MK Acc,TM,Birth Weight,Adjusted Birth Weight,Birth Contemp Group,Birth contemporaries,Birth Weight Ratio,Calving Ease,Twin code,Weaning Date,Weaning Weight Date,Weaning Weight,Adjusted Weaning Weight,Weaning Contemp Group,Weaning Contemporaries,Weaning Weight Ratio,Weaning WDA,Weaning Mgmt Code,Weaning Pasture Code,Yearling Date,Yearling Weight Date,Yearling Weight,Adjusted Yearling Weight,Yearling Contemp Group,Yearling Contemporaries,Yearling Weight Ratio,Yearling WDA,Yearling ADG,Yearling Mgmt Code,Yearling Pasture Code,Growth,Year_Born,Age,Designation,phn,animal_name,sire,sire_phn,sire_name,dam,dam_phn,dam_name,sire_sire,sire_sire_phn,sire_sire_name,sire_dam,sire_dam_phn,sire_dam_name,dam_sire,dam_sire_phn,dam_sire_name,dam_dam,dam_dam_phn,dam_dam_name,sire_sire_sire,sire_sire_sire_phn,sire_sire_sire_name,sire_sire_dam,sire_sire_dam_phn,sire_sire_dam_name,sire_dam_sire,sire_dam_sire_phn,sire_dam_sire_name,sire_dam_dam,sire_dam_dam_phn,sire_dam_dam_name,dam_sire_sire,dam_sire_sire_phn,dam_sire_sire_name,dam_sire_dam,dam_sire_dam_phn,dam_sire_dam_name,dam_dam_sire,dam_dam_sire_phn,dam_dam_sire_name,dam_dam_dam,dam_dam_dam_phn,dam_dam_dam_name,sire_sire_sire_sire,sire_sire_sire_sire_phn,sire_sire_sire_sire_name,sire_sire_sire_dam,sire_sire_sire_dam_phn,sire_sire_sire_dam_name,sire_sire_dam_sire,sire_sire_dam_sire_phn,sire_sire_dam_sire_name,sire_sire_dam_dam,sire_sire_dam_dam_phn,sire_sire_dam_dam_name,dam_sire_sire_sire,dam_sire_sire_sire_phn,dam_sire_sire_sire_name,dam_sire_sire_dam,dam_sire_sire_dam_phn,dam_sire_sire_dam_name,dam_sire_dam_sire,dam_sire_dam_sire_phn,dam_sire_dam_sire_name,dam_sire_dam_dam,dam_sire_dam_dam_phn,dam_sire_dam_dam_name,sire_dam_sire_sire,sire_dam_sire_sire_phn,sire_dam_sire_sire_name,sire_dam_sire_dam,sire_dam_sire_dam_phn,sire_dam_sire_dam_name,sire_dam_dam_sire,sire_dam_dam_sire_phn,sire_dam_dam_sire_name,sire_dam_dam_dam,sire_dam_dam_dam_phn,sire_dam_dam_dam_name,dam_dam_sire_sire,dam_dam_sire_sire_phn,dam_dam_sire_sire_name,dam_dam_sire_dam,dam_dam_sire_dam_phn,dam_dam_sire_dam_name,dam_dam_dam_sire,dam_dam_dam_sire_phn,dam_dam_dam_sire_name,dam_dam_dam_dam,dam_dam_dam_dam_phn,dam_dam_dam_dam_name,_merge,Carcass_Number,Sex,Color,Carcass_Weight,Quality,Yield,Member_Name,Registration Number_y,Sire_y,Member_ID,carcass_merge
683,0,C0271,RH,7207,RE,7207,1T110282,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-04-17,NS,AF42330,X109583,Active,B,AA,,XX,50.0,,50.0,P,N,20240808.0,-5.0,0.19,2.1,0.08,42.0,0.05,77.0,0.01,27.0,0.04,48.2155,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,78.7369,2017.0,7.0,Bull,7207,7207,AF42330,2163A,HEARTBRAND 2163A,X109583,651,651,AF233,T0068L,HEARTBRAND T0068L,AF1349,S1090P,HEARTBRAND S1090P,,,,,,,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,AF110,HB 457,SHIGEMARU,AF105,FJ355B,HARUKO,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF114,HB502E,BIG AL,AF113,FJ245C,HEARTBRAND HIMAWARI 245,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AJ094,TOK 30,DAI-SAN 3 MITSUMARU TOKKYU 30,AJ122,TOK 6669,DAI-NANA 7 KIKUHIME TOKKYU 6669,,,,,,,,,,,,,both,942,Steer,Black,1007,P,2,Artesian Cattle,1T110282,AF42330,,both
684,0,C0271,RH,7190,RE,7190,1T110283,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-04-20,NS,AF62449,X110013,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,-6.2,0.19,2.5,0.08,47.0,0.07,84.0,0.01,25.0,0.05,48.822998,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,86.49750000000002,2017.0,7.0,Bull,7190,7190,AF62449,3620B,HEARTBRAND 3620B,X110013,561,561,AF109,HB 459,TAMAMARU,AF2688,H2426R,HEARTBRAND H2426R,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF107,HB 830,HIKARI,AF147,T0930J,HEARTBRAND T0930J,,,,,,,,,,,,,AJ116,KO 70,TAMANAMI KO 70,AJ133,KO 2030,FUJIMITSU KO 2030,AJ093,KO 71,DAI-SAN 3 MITSUMARU KO 71,AJ123,TOK 14289,DAI-HICHI 7 MARUNAMI TOK 14289,,,,,,,,,,,,,AJ110,KO 76,DAI-JU 10 MITSUMARU KO 76,AJ117,1KY 92958,KAZUTOMO 1KYU 92958,AF109,HB 459,TAMAMARU,AF115,T0504E,HEARTBRAND T0504E,,,,,,,,,,,,,both,1012,Steer,Black,951,P,4,Artesian Cattle,1T110283,AF62449,,both
685,0,C0271,RH,7070,RE,7070,1T110284,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-04-23,NS,AF28735,X94201,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,-6.1,0.2,2.0,0.06,40.0,0.05,74.0,0.01,26.0,0.03,45.387,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,75.39500000000001,2017.0,7.0,Bull,7070,7070,AF28735,TW0757Z,TWINWOOD TW0757Z,X94201,225,225,AF6092,S5744T,HEARTBRAND S5744T,AF2246,T1986P,HEARTBRAND T1986P,,,,,,,AF110,HB 457,SHIGEMARU,AF851,T0601N,HEARTBRAND T0601N,AF109,HB 459,TAMAMARU,AF157,B0947J,HEARTBRAND B0947J,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF109,HB 459,TAMAMARU,AF137,B0806H,HEARTBRAND B0806H,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF114,HB502E,BIG AL,AF113,FJ245C,HEARTBRAND HIMAWARI 245,,,,,,,,,,,,,both,910,Steer,Black MOT,991,CH,5,Artesian Cattle,1T110284,AF28735,,both
686,0,C0271,RH,7202,RE,7202,1T110285,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-04-24,NS,AF40818,X93776,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,-5.5,0.18,3.6,0.08,49.0,0.07,88.0,0.01,28.0,0.04,52.665,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,90.63640000000001,2017.0,7.0,Bull,7202,7202,AF40818,2442Z,HEARTBRAND 2442Z,X93776,730,730,AF6971,S5394S,HEARTBRAND JOE S5394S,AF4629,V5909S,HEARTBRAND V5909S,,,,,,,AF110,HB 457,SHIGEMARU,AF263,B0004M,HEARTBRAND B0004M,AF859,C0600N,HEARTBRAND C0600N,AF1297,T1033P,HEARTBRAND T1033P,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,AF123,H0518E,HEARTBRAND H0518E,AF152,S0939J,HEARTBRAND S0939J,AF109,HB 459,TAMAMARU,AF137,B0806H,HEARTBRAND B0806H,,,,,,,,,,,,,both,1055,STEER,BLACK,861,P,4,Artesian Cattle,1T110285,AF40818,,both
687,0,C0271,RH,7221,RE,7221,1T110286,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-04-29,NS,AF36497,X93949,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,-3.7,0.19,2.3,0.08,46.0,0.05,84.0,0.01,26.0,0.04,49.418,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,86.51870000000001,2017.0,7.0,Bull,7221,7221,AF36497,1603Z,HEARTBRAND 1603Z,X93949,736,736,AF5638,S5204S,HEARTBRAND S5204S,AF8267,V6825U,HEARTBRAND V6825U,,,,,,,AF110,HB 457,SHIGEMARU,AF138,B0905J,HEARTBRAND B0905J,AF109,HB 459,TAMAMARU,AF1872,T1610P,HEARTBRAND T1610P,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,,,,,,,,,,,,,both,978,Steer,Red,953,CH,4,Artesian Cattle,1T110286,AF36497,,both
688,0,C0271,RH,7149,RE,7149,1T110287,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-04-30,NS,AF62449,X93895,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,-6.2,0.19,2.5,0.08,47.0,0.07,84.0,0.01,25.0,0.05,48.822998,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,86.49750000000002,2017.0,7.0,Bull,7149,7149,AF62449,3620B,HEARTBRAND 3620B,X93895,428,428,AF109,HB 459,TAMAMARU,AF2688,H2426R,HEARTBRAND H2426R,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF107,HB 830,HIKARI,AF147,T0930J,HEARTBRAND T0930J,,,,,,,,,,,,,AJ116,KO 70,TAMANAMI KO 70,AJ133,KO 2030,FUJIMITSU KO 2030,AJ093,KO 71,DAI-SAN 3 MITSUMARU KO 71,AJ123,TOK 14289,DAI-HICHI 7 MARUNAMI TOK 14289,,,,,,,,,,,,,AJ110,KO 76,DAI-JU 10 MITSUMARU KO 76,AJ117,1KY 92958,KAZUTOMO 1KYU 92958,AF109,HB 459,TAMAMARU,AF115,T0504E,HEARTBRAND T0504E,,,,,,,,,,,,,both,960,Steer,Black,1020,P,3,Artesian Cattle,1T110287,AF62449,,both
689,0,C0271,RH,7054,RE,7054,1T110288,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-02-27,NS,AF42320,X93808,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,-2.2,0.19,1.4,0.09,44.0,0.06,79.0,0.01,24.0,0.04,45.714,0.0,,5650-4760,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,81.22160000000001,2017.0,7.0,Bull,7054,7054,AF42320,0704Z,BEEMAN 0704Z,X93808,023,023,AF2794,H2530R,HEARTBRAND H2530R,AF3277,S2962R,HEARTBRAND S2962R,,,,,,,AF107,HB 830,HIKARI,AF142,S0918J,HEARTBRAND S0918J,AF110,HB 457,SHIGEMARU,AF243,S0940L,HEARTBRAND S0940L,,,,,,,,,,,,,AJ110,KO 76,DAI-JU 10 MITSUMARU KO 76,AJ117,1KY 92958,KAZUTOMO 1KYU 92958,AF110,HB 457,SHIGEMARU,AF130,J0541F,HEARTBRAND J0541F,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF110,HB 457,SHIGEMARU,AF154,B0940J,HEARTBRAND B0940J,,,,,,,,,,,,,both,951,Steer,Black WF,1163,P,3,Artesian Cattle,1T110288,AF42320,,both
690,0,C0271,RH,7063,RE,7063,1T110289,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-02-27,NS,AF36497,X94230,Active,B,AA,AN,XX,50.0,25.0,25.0,H,N,20240808.0,-3.6,0.19,2.3,0.08,46.0,0.05,84.0,0.01,26.0,0.04,49.418,0.0,,5650-4760,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,86.51870000000001,2017.0,7.0,Bull,7063,7063,AF36497,1603Z,HEARTBRAND 1603Z,X94230,308,308,AF5638,S5204S,HEARTBRAND S5204S,AF8267,V6825U,HEARTBRAND V6825U,,,,,,,AF110,HB 457,SHIGEMARU,AF138,B0905J,HEARTBRAND B0905J,AF109,HB 459,TAMAMARU,AF1872,T1610P,HEARTBRAND T1610P,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,,,,,,,,,,,,,both,1050,STEER,RED,985,CH,3,Artesian Cattle,1T110289,AF36497,,both
693,0,C0271,RH,7064,RE,7064,1T110292,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-07,NS,AF28735,X93808,Active,B,AA,AN,XX,50.0,25.0,25.0,H,N,20240808.0,-13.1,0.2,2.0,0.06,40.0,0.05,74.0,0.01,26.0,0.03,45.387,0.0,,5651-4762,2.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,75.39500000000001,2017.0,7.0,Bull,7064,7064,AF28735,TW0757Z,TWINWOOD TW0757Z,X93808,023,023,AF6092,S5744T,HEARTBRAND S5744T,AF2246,T1986P,HEARTBRAND T1986P,,,,,,,AF110,HB 457,SHIGEMARU,AF851,T0601N,HEARTBRAND T0601N,AF109,HB 459,TAMAMARU,AF157,B0947J,HEARTBRAND B0947J,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF109,HB 459,TAMAMARU,AF137,B0806H,HEARTBRAND B0806H,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF114,HB502E,BIG AL,AF113,FJ245C,HEARTBRAND HIMAWARI 245,,,,,,,,,,,,,both,1032,STEER,BLACK,808,CH,4,Artesian Cattle,1T110292,AF28735,,both
694,0,C0271,RH,7103,RE,7103,1T110293,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-14,NS,AF36497,X93932,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,-3.7,0.19,2.3,0.08,46.0,0.05,84.0,0.01,26.0,0.04,49.418,0.0,,5651-4762,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,86.51870000000001,2017.0,7.0,Bull,7103,7103,AF36497,1603Z,HEARTBRAND 1603Z,X93932,705,705,AF5638,S5204S,HEARTBRAND S5204S,AF8267,V6825U,HEARTBRAND V6825U,,,,,,,AF110,HB 457,SHIGEMARU,AF138,B0905J,HEARTBRAND B0905J,AF109,HB 459,TAMAMARU,AF1872,T1610P,HEARTBRAND T1610P,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,,,,,,,,,,,,,both,1041,Steer,Black MOT,990,P,3,Artesian Cattle,1T110293,AF36497,,both
1010,0,C0271,RH,0132,,ARTESIAN CATTLE 0132,1T186036,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-26,NS,AF28735,X93928,Active,B,AA,AN,XX,50.0,25.0,25.0,H,N,20240808.0,-6.1,0.19,2.0,0.06,40.0,0.05,74.0,0.01,26.0,0.03,45.387,0.0,,16402-1,59.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,75.39500000000001,2020.0,4.0,Bull,0132,ARTESIAN CATTLE 0132,AF28735,TW0757Z,TWINWOOD TW0757Z,X93928,05,05,AF6092,S5744T,HEARTBRAND S5744T,AF2246,T1986P,HEARTBRAND T1986P,,,,,,,AF110,HB 457,SHIGEMARU,AF851,T0601N,HEARTBRAND T0601N,AF109,HB 459,TAMAMARU,AF157,B0947J,HEARTBRAND B0947J,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF109,HB 459,TAMAMARU,AF137,B0806H,HEARTBRAND B0806H,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF114,HB502E,BIG AL,AF113,FJ245C,HEARTBRAND HIMAWARI 245,,,,,,,,,,,,,both,591,Heifer,Red,674,P,4,E Cross,,,C0111,both
1020,0,C0271,RH,0037,,ARTESIAN CATTLE 0037,1T186060,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-04,NS,AF28735,X94185,Active,B,AA,AN,XX,50.0,25.0,25.0,S,N,20240808.0,-6.1,0.19,2.0,0.06,40.0,0.05,74.0,0.01,26.0,0.03,45.387,0.0,,16402-1,59.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,75.39500000000001,2020.0,4.0,Bull,0037,ARTESIAN CATTLE 0037,AF28735,TW0757Z,TWINWOOD TW0757Z,X94185,209,209,AF6092,S5744T,HEARTBRAND S5744T,AF2246,T1986P,HEARTBRAND T1986P,,,,,,,AF110,HB 457,SHIGEMARU,AF851,T0601N,HEARTBRAND T0601N,AF109,HB 459,TAMAMARU,AF157,B0947J,HEARTBRAND B0947J,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF109,HB 459,TAMAMARU,AF137,B0806H,HEARTBRAND B0806H,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF114,HB502E,BIG AL,AF113,FJ245C,HEARTBRAND HIMAWARI 245,,,,,,,,,,,,,both,643,Heifer,Red MOT,675,P,2,E Cross,,,C0111,both
1025,0,C0271,RH,0028,,ARTESIAN CATTLE 0028,1T186075,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-01,NS,AF36497,X94207,Active,B,AA,AN,XX,50.0,25.0,25.0,S,N,20240808.0,-3.7,0.19,2.3,0.08,46.0,0.05,84.0,0.01,26.0,0.04,49.418,0.0,,16402-1,59.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,86.51870000000001,2020.0,4.0,Bull,0028,ARTESIAN CATTLE 0028,AF36497,1603Z,HEARTBRAND 1603Z,X94207,231,231,AF5638,S5204S,HEARTBRAND S5204S,AF8267,V6825U,HEARTBRAND V6825U,,,,,,,AF110,HB 457,SHIGEMARU,AF138,B0905J,HEARTBRAND B0905J,AF109,HB 459,TAMAMARU,AF1872,T1610P,HEARTBRAND T1610P,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,,,,,,,,,,,,,both,691,Heifer,Red,613,P,3,E Cross,,,C0111,both
1027,0,C0271,RH,0059,,ARTESIAN CATTLE 0059,1T186078,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-09,NS,AF36497,X94210,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,-3.7,0.19,2.3,0.08,46.0,0.05,84.0,0.01,26.0,0.04,49.418,0.0,,16402-1,59.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,86.51870000000001,2020.0,4.0,Bull,0059,ARTESIAN CATTLE 0059,AF36497,1603Z,HEARTBRAND 1603Z,X94210,234,234,AF5638,S5204S,HEARTBRAND S5204S,AF8267,V6825U,HEARTBRAND V6825U,,,,,,,AF110,HB 457,SHIGEMARU,AF138,B0905J,HEARTBRAND B0905J,AF109,HB 459,TAMAMARU,AF1872,T1610P,HEARTBRAND T1610P,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,,,,,,,,,,,,,both,723,Heifer,Black,642,CH,4,E Cross,,,C0111,both
1031,0,C0271,RH,0112,,ARTESIAN CATTLE 0112,1T186084,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-02,NS,AF36497,X94218,Active,B,AA,CH,XX,50.0,25.0,25.0,H,N,20240808.0,-3.7,0.19,2.3,0.08,46.0,0.05,84.0,0.01,26.0,0.04,49.418,0.0,,16402-1,59.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,86.51870000000001,2020.0,4.0,Bull,0112,ARTESIAN CATTLE 0112,AF36497,1603Z,HEARTBRAND 1603Z,X94218,244,244,AF5638,S5204S,HEARTBRAND S5204S,AF8267,V6825U,HEARTBRAND V6825U,,,,,,,AF110,HB 457,SHIGEMARU,AF138,B0905J,HEARTBRAND B0905J,AF109,HB 459,TAMAMARU,AF1872,T1610P,HEARTBRAND T1610P,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,,,,,,,,,,,,,both,592,Heifer,Red,772,CH,3,E Cross,,,C0111,both
1034,0,C0271,RH,0148,,ARTESIAN CATTLE 0148,1T186096,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-24,NS,AF31519,X94229,Active,B,AA,AN,XX,50.0,25.0,25.0,S,N,20240808.0,-0.4,0.18,0.4,0.08,47.0,0.06,83.0,0.01,24.0,0.04,46.999,0.0,,16402-1,59.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,86.0316,2020.0,4.0,Bull,0148,ARTESIAN CATTLE 0148,AF31519,1118Z,HEARTBRAND 1118Z,X94229,307,307,AF7269,S6386U,HEARTBRAND KC S6386U,AF3840,P0250R,HEARTBRAND P0250R,,,,,,,AF110,HB 457,SHIGEMARU,AF230,C0062L,HEARTBRAND C0062L,AF274,B0018M,HEARTBRAND B0018M,AF485,H0250N,HEARTBRAND H0250N,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF123,H0518E,HEARTBRAND H0518E,AF141,S0917J,HEARTBRAND S0917J,,,,,,,,,,,,,AF114,HB502E,BIG AL,AF111,FJ117D,YAMATO 117 RINGO,AF107,HB 830,HIKARI,AF144,S0919J,HEARTBRAND S0919J,,,,,,,,,,,,,both,590,Heifer,Red,698,CH,4,E Cross,,,C0111,both
1036,0,C0271,RH,0056,,ARTESIAN CATTLE 0056,1T186108,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-02-28,NS,AF42320,X93869,Active,B,AA,AN,XX,50.0,25.0,25.0,S,N,20240808.0,-2.3,0.19,1.4,0.09,44.0,0.06,79.0,0.01,24.0,0.04,45.714,0.0,,16402-3,22.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,81.22160000000001,2020.0,4.0,Bull,0056,ARTESIAN CATTLE 0056,AF42320,0704Z,BEEMAN 0704Z,X93869,402,402,AF2794,H2530R,HEARTBRAND H2530R,AF3277,S2962R,HEARTBRAND S2962R,,,,,,,AF107,HB 830,HIKARI,AF142,S0918J,HEARTBRAND S0918J,AF110,HB 457,SHIGEMARU,AF243,S0940L,HEARTBRAND S0940L,,,,,,,,,,,,,AJ110,KO 76,DAI-JU 10 MITSUMARU KO 76,AJ117,1KY 92958,KAZUTOMO 1KYU 92958,AF110,HB 457,SHIGEMARU,AF130,J0541F,HEARTBRAND J0541F,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF110,HB 457,SHIGEMARU,AF154,B0940J,HEARTBRAND B0940J,,,,,,,,,,,,,both,609,Heifer,Black,925,P,4,E Cross,,,C0111,both
